Annual summary output from Biome-BGC version 4.2
ann PRCP = annual total precipitation (mm/yr)
ann Tavg = annual average air temperature (deg C)
max LAI = annual maximum value of projected leaf area index (m2/m2)
ann ET = annual total evapotranspiration (mm/yr)
ann OF = annual total outflow (mm/yr)
ann NPP = annual total net primary production (gC/m2/yr)
ann NPB = annual total net biome production (gC/m2/yr)

  year  ann PRCP  ann Tavg   max LAI    ann ET    ann OF   ann NPP   ann NBP
  1950     355.7      10.5       1.3     391.5       0.0     348.1     107.3
  1951     348.7      10.0       1.5     325.9       0.0     220.5      34.5
  1952     235.0      10.3       1.7     307.5       0.0     144.6     -35.6
  1953     351.1      10.9       1.9     334.0       0.0     175.1      14.4
  1954     207.9      10.8       1.8     204.4       0.0      87.2     -56.8
  1955     310.4       9.3       1.7     282.4       0.0     110.3     -50.2
  1956     299.2      10.2       1.6     322.6       0.0     222.5      34.2
  1957     320.0      10.1       1.6     310.6       0.0     175.9      -1.0
  1958     364.6      11.7       1.7     383.2       0.0     242.2      54.5
  1959     255.2      10.2       1.7     256.8       0.0     175.6      26.5
  1960     278.8      10.6       1.7     273.7       0.0     143.8     -23.9
  1961     233.8      11.2       1.6     215.8       0.0      77.4     -80.4
  1962     271.7      10.2       1.5     288.4       0.0     203.6      33.0
  1963     337.3      11.4       1.4     311.0       0.0     195.1      17.6
  1964     401.1       9.2       1.5     360.0       0.0     258.1      75.2
  1965     318.5      10.6       1.7     391.8       0.0     320.1     111.6
  1966     169.4      11.0       1.8     154.1       0.0     -36.8    -181.6
  1967     195.5      11.3       1.7     221.2       0.0      65.2     -93.6
  1968     279.4      11.3       1.5     239.0       0.0     168.0      10.6
  1969     313.1      11.0       1.4     329.4       0.0     265.9      66.3
  1970     361.3      11.1       1.5     339.7       0.0     238.4      51.4
  1971     301.5      10.8       1.6     292.4       0.0     167.1      -8.9
  1972     286.7      10.5       1.7     314.0       0.0     217.3      38.7
  1973     289.9      11.6       1.7     251.6       0.0     114.4     -46.7
  1974     240.9      11.2       1.7     277.8       0.0     154.4     -24.7
  1975     348.2      10.4       1.7     347.7       0.0     216.7      34.4
  1976     301.2      10.0       1.8     341.8       0.0     337.4     170.5
  1977     310.6      10.4       1.8     241.1       0.0     118.3     -36.5
  1978     300.8      10.6       2.0     351.1       0.0     241.0      46.8
  1979     307.6      10.2       2.0     290.7       0.0     157.5     -15.9
  1980     386.8      10.5       2.1     390.0       0.0     295.9     117.0
  1981     388.5      11.0       2.1     341.3       0.0     242.1      61.1
  1982     351.9       9.3       2.2     376.4       0.0     257.4      61.5
  1983     477.7      10.6       2.4     427.3       0.0     299.2      95.0
  1984     336.7       8.8       2.4     400.0       0.0     262.2      55.2
  1985     283.6       7.7       2.4     276.2       0.0     166.1      -8.5
  1986     364.2      11.0       2.4     404.4       0.0     296.5      90.1
  1987     216.3      11.6       2.3     207.8       0.0      -3.9    -170.4
  1988     284.9      11.1       2.1     246.0       0.0      92.8     -86.8
  1989     266.1      10.1       1.9     309.6       0.0     282.6      79.8
  1990     307.2      11.0       1.9     306.1       0.0     244.3      66.1
  1991     241.1      10.7       1.8     223.0       0.0      71.8     -88.7
  1992     195.9      11.8       1.6     189.3       0.0      54.9    -115.4
  1993     324.8       9.3       1.5     350.4       0.0     298.7      94.5
  1994     239.1      11.4       1.4     200.8       0.0      75.8     -89.4
  1995     358.6      11.3       1.5     339.7       0.0     249.5      54.6
  1996     323.0      11.3       1.5     301.7       0.0     248.1      47.9
  1997     282.3      11.6       1.7     361.0       0.0     297.5      94.1
  1998     425.0      12.1       2.0     403.6       0.0     345.5     163.7
  1999     218.5      11.5       2.1     237.4       0.0      58.7    -106.4
  2000     304.8      11.5       2.1     284.4       0.0     121.7     -52.4
  2001     217.8      11.6       1.9     214.5       0.0      65.1    -112.4
  2002     177.4      11.4       1.7     176.7       0.0      64.3    -103.7
  2003     257.5      12.7       1.5     264.1       0.0     154.7     -39.1
  2004     287.9      11.8       1.4     278.5       0.0     206.8      18.8
  2005     347.5      11.4       1.4     301.0       0.0     214.7      45.1
  2006     248.5      11.3       1.4     247.9       0.0     161.2     -24.7
  2007     342.3      11.3       1.6     342.4       0.0     264.6      59.5
  2008     357.8      11.3       1.8     370.5       0.0     310.5     112.2
  2009     361.8      11.2       2.0     356.3       0.0     244.3      59.4
  2010     334.6      11.2       2.2     334.1       0.0     263.9      77.9
  2011     369.9      11.2       2.4     377.8       0.0     269.5      84.5
  2012     373.1      11.1       2.4     375.4       0.0     244.1      54.5
  2013     357.8      11.1       2.5     354.4       0.0     217.2      22.5
  2014     380.7      11.1       2.5     391.1       0.0     264.0      67.0
  2015     384.5      11.0       2.5     380.8       0.0     311.6     108.2
  2016     388.4      11.0       2.6     383.9       0.0     344.9     139.3
  2017     382.5      11.0       2.7     392.6       0.0     292.1      80.4
  2018     396.1      10.9       2.8     399.2       0.0     318.6     117.6
  2019     400.5      10.9       2.8     404.9       0.0     317.8     118.6
  2020     442.1      11.5       2.9     462.4       0.0     373.4     161.1
  2021     446.4      12.0       2.9     394.5       0.0     298.8      88.5
  2022     393.9      10.3       2.9     423.0       0.0     316.4      86.5
